trial_id,scraped_at,extractor_version,has_participant_flow,dropout_rate_pct,started_n,completed_n,recency_decay,missing_enrollment,parse_warning
NCT01210001,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.4,499,457,1.0,False,
NCT02586155,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.5,2425,2171,0.669377,False,
NCT01704261,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.1,307,279,0.381185,False,
NCT01768559,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.7,894,834,0.379199,False,
NCT01779362,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.1,267,232,0.568247,False,
NCT00395746,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.6,264,228,0.214254,False,
NCT00344370,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.4,214,196,0.212734,False,
NCT01991795,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,1.4,19271,18999,0.543445,False,
NCT03066830,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.8,507,452,0.555839,False,
NCT00698932,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.2,568,510,0.242288,False,
NCT00736879,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,7.8,282,260,0.247461,False,
NCT01849289,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.7,833,777,0.361617,False,
NCT04591626,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.2,291,276,0.720663,False,
NCT00707031,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,31.8,639,436,0.266168,False,
NCT01809327,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.9,1186,1069,0.379289,False,
NCT02033889,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.7,621,542,0.478063,False,
NCT01499082,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.5,807,714,0.340296,False,
NCT01095653,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.7,393,343,0.298717,False,
NCT01214239,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.0,299,269,1.0,False,
NCT00518882,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,36.0,467,299,0.231988,False,
NCT02036515,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.7,464,433,0.432392,False,
NCT00316082,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,36.7,365,231,0.22382,False,
NCT00395343,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.0,641,564,0.222813,False,
NCT03376789,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.4,219,205,0.541513,False,
NCT01468987,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.6,1369,1238,0.337801,False,
NCT00622284,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,23.2,1551,1191,1.0,False,
NCT00309751,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.0,418,372,0.197876,False,
NCT02229396,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,36.0,695,445,0.49504,False,
NCT02501161,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.6,1012,965,0.528936,False,
NCT05662332,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.1,795,723,0.874071,False,
